Dinlenenler : rssis:-108.00, snr:-15.80, rssi:-94.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAEtEUZpAH9SAC7+aB3rgqQF1ZrNEsgsEBMmjmUppuzUfPQVNmguX6eNn1kzGPST/w==
Dinlenenler : rssis:-108.00, snr:-15.80, rssi:-94.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAEtEUZpAH9SAC7+aB3rgqQF1ZrNEsgsEBMmjmUppuzUfPQVNmguX6eNn1kzGPST/w==
Dinlenenler : rssis:-108.00, snr:-15.80, rssi:-94.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAEtEUZpAH9SAC7+aB3rgqQF1ZrNEsgsEBMmjmUppuzUfPQVNmguX6eNn1kzGPST/w==
Dinlenenler : rssis:-108.00, snr:-15.80, rssi:-94.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAEtEUZpAH9SAC7+aB3rgqQF1ZrNEsgsEBMmjmUppuzUfPQVNmguX6eNn1kzGPST/w==
Dinlenenler : rssis:-108.00, snr:-15.80, rssi:-94.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAEtEUZpAH9SAC7+aB3rgqQF1ZrNEsgsEBMmjmUppuzUfPQVNmguX6eNn1kzGPST/w==
Dinlenenler : rssis:-108.00, snr:-15.80, rssi:-94.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAEtEUZpAH9SAC7+aB3rgqQF1ZrNEsgsEBMmjmUppuzUfPQVNmguX6eNn1kzGPST/w==
Dinlenenler : rssis:-108.00, snr:-15.80, rssi:-94.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAEtEUZpAH9SAC7+aB3rgqQF1ZrNEsgsEBMmjmUppuzUfPQVNmguX6eNn1kzGPST/w==
Dinlenenler : rssis:-117.00, snr:-20.00, rssi:-98.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAHY3W8IAC3jAMIVAQVxnXeM06cTGp4mM0ZaQFE9yttYSUSxCO7dLDNbP3zz02Rnog==
Dinlenenler : rssis:-117.00, snr:-20.00, rssi:-98.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAHY3W8IAC3jAMIVAQVxnXeM06cTGp4mM0ZaQFE9yttYSUSxCO7dLDNbP3zz02Rnog==
Dinlenenler : rssis:-117.00, snr:-20.00, rssi:-98.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAHY3W8IAC3jAMIVAQVxnXeM06cTGp4mM0ZaQFE9yttYSUSxCO7dLDNbP3zz02Rnog==
Dinlenenler : rssis:-117.00, snr:-20.00, rssi:-98.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAHY3W8IAC3jAMIVAQVxnXeM06cTGp4mM0ZaQFE9yttYSUSxCO7dLDNbP3zz02Rnog==
Dinlenenler : rssis:-117.00, snr:-20.00, rssi:-98.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAHY3W8IAC3jAMIVAQVxnXeM06cTGp4mM0ZaQFE9yttYSUSxCO7dLDNbP3zz02Rnog==
Dinlenenler : rssis:-117.00, snr:-20.00, rssi:-98.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAHY3W8IAC3jAMIVAQVxnXeM06cTGp4mM0ZaQFE9yttYSUSxCO7dLDNbP3zz02Rnog==
Dinlenenler : rssis:-117.00, snr:-20.00, rssi:-98.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAHY3W8IAC3jAMIVAQVxnXeM06cTGp4mM0ZaQFE9yttYSUSxCO7dLDNbP3zz02Rnog==
